"Plot Title: hobo168"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874427, SEN S/N: 874427)","Coupler Attached (LGR S/N: 874427)","Host Connected (LGR S/N: 874427)","End Of File (LGR S/N: 874427)"
1,04/23/24 02:00:00 PM,18.140,,,
2,04/23/24 02:10:00 PM,17.189,,,
3,04/23/24 02:20:00 PM,17.284,,,
4,04/23/24 02:30:00 PM,17.189,,,
5,04/23/24 02:40:00 PM,17.189,,,
6,04/23/24 02:50:00 PM,17.189,,,
7,04/23/24 03:00:00 PM,17.094,,,
8,04/23/24 03:10:00 PM,17.094,,,
9,04/23/24 03:20:00 PM,16.999,,,
10,04/23/24 03:30:00 PM,16.999,,,
11,04/23/24 03:40:00 PM,16.999,,,
12,04/23/24 03:50:00 PM,16.903,,,
13,04/23/24 04:00:00 PM,16.903,,,
14,04/23/24 04:10:00 PM,16.713,,,
15,04/23/24 04:20:00 PM,16.713,,,
16,04/23/24 04:30:00 PM,16.713,,,
17,04/23/24 04:40:00 PM,16.618,,,
18,04/23/24 04:50:00 PM,16.618,,,
19,04/23/24 05:00:00 PM,16.427,,,
20,04/23/24 05:10:00 PM,16.332,,,
21,04/23/24 05:20:00 PM,16.332,,,
22,04/23/24 05:30:00 PM,16.237,,,
23,04/23/24 05:40:00 PM,16.141,,,
24,04/23/24 05:50:00 PM,16.141,,,
25,04/23/24 06:00:00 PM,16.046,,,
26,04/23/24 06:10:00 PM,15.951,,,
27,04/23/24 06:20:00 PM,15.760,,,
28,04/23/24 06:30:00 PM,15.569,,,
29,04/23/24 06:40:00 PM,15.569,,,
30,04/23/24 06:50:00 PM,15.569,,,
31,04/23/24 07:00:00 PM,15.569,,,
32,04/23/24 07:10:00 PM,15.473,,,
33,04/23/24 07:20:00 PM,15.473,,,
34,04/23/24 07:30:00 PM,15.569,,,
35,04/23/24 07:40:00 PM,15.569,,,
36,04/23/24 07:50:00 PM,15.569,,,
37,04/23/24 08:00:00 PM,15.569,,,
38,04/23/24 08:10:00 PM,15.569,,,
39,04/23/24 08:20:00 PM,15.569,,,
40,04/23/24 08:30:00 PM,15.282,,,
41,04/23/24 08:40:00 PM,15.187,,,
42,04/23/24 08:50:00 PM,14.996,,,
43,04/23/24 09:00:00 PM,14.900,,,
44,04/23/24 09:10:00 PM,14.996,,,
45,04/23/24 09:20:00 PM,14.996,,,
46,04/23/24 09:30:00 PM,14.900,,,
47,04/23/24 09:40:00 PM,14.709,,,
48,04/23/24 09:50:00 PM,14.517,,,
49,04/23/24 10:00:00 PM,14.613,,,
50,04/23/24 10:10:00 PM,14.517,,,
51,04/23/24 10:20:00 PM,14.517,,,
52,04/23/24 10:30:00 PM,14.421,,,
53,04/23/24 10:40:00 PM,14.421,,,
54,04/23/24 10:50:00 PM,14.421,,,
55,04/23/24 11:00:00 PM,14.421,,,
56,04/23/24 11:10:00 PM,14.421,,,
57,04/23/24 11:20:00 PM,14.517,,,
58,04/23/24 11:30:00 PM,14.517,,,
59,04/23/24 11:40:00 PM,14.517,,,
60,04/23/24 11:50:00 PM,14.517,,,
61,04/24/24 12:00:00 AM,14.613,,,
62,04/24/24 12:10:00 AM,14.613,,,
63,04/24/24 12:20:00 AM,14.517,,,
64,04/24/24 12:30:00 AM,14.517,,,
65,04/24/24 12:40:00 AM,14.421,,,
66,04/24/24 12:50:00 AM,14.325,,,
67,04/24/24 01:00:00 AM,14.230,,,
68,04/24/24 01:10:00 AM,14.325,,,
69,04/24/24 01:20:00 AM,14.421,,,
70,04/24/24 01:30:00 AM,14.421,,,
71,04/24/24 01:40:00 AM,14.421,,,
72,04/24/24 01:50:00 AM,14.325,,,
73,04/24/24 02:00:00 AM,14.325,,,
74,04/24/24 02:10:00 AM,14.325,,,
75,04/24/24 02:20:00 AM,14.325,,,
76,04/24/24 02:30:00 AM,14.230,,,
77,04/24/24 02:40:00 AM,14.230,,,
78,04/24/24 02:50:00 AM,14.230,,,
79,04/24/24 03:00:00 AM,14.134,,,
80,04/24/24 03:10:00 AM,14.134,,,
81,04/24/24 03:20:00 AM,14.230,,,
82,04/24/24 03:30:00 AM,14.230,,,
83,04/24/24 03:40:00 AM,14.230,,,
84,04/24/24 03:50:00 AM,14.230,,,
85,04/24/24 04:00:00 AM,14.230,,,
86,04/24/24 04:10:00 AM,14.230,,,
87,04/24/24 04:20:00 AM,14.230,,,
88,04/24/24 04:30:00 AM,14.230,,,
89,04/24/24 04:40:00 AM,14.517,,,
90,04/24/24 04:50:00 AM,14.709,,,
91,04/24/24 05:00:00 AM,14.613,,,
92,04/24/24 05:10:00 AM,14.421,,,
93,04/24/24 05:20:00 AM,14.517,,,
94,04/24/24 05:30:00 AM,14.517,,,
95,04/24/24 05:40:00 AM,14.517,,,
96,04/24/24 05:50:00 AM,14.613,,,
97,04/24/24 06:00:00 AM,14.613,,,
98,04/24/24 06:10:00 AM,14.709,,,
99,04/24/24 06:20:00 AM,14.804,,,
100,04/24/24 06:30:00 AM,14.804,,,
101,04/24/24 06:40:00 AM,14.804,,,
102,04/24/24 06:50:00 AM,14.900,,,
103,04/24/24 07:00:00 AM,14.996,,,
104,04/24/24 07:10:00 AM,14.996,,,
105,04/24/24 07:20:00 AM,14.900,,,
106,04/24/24 07:30:00 AM,14.996,,,
107,04/24/24 07:40:00 AM,14.900,,,
108,04/24/24 07:50:00 AM,14.996,,,
109,04/24/24 08:00:00 AM,14.996,,,
110,04/24/24 08:10:00 AM,14.996,,,
111,04/24/24 08:20:00 AM,15.091,,,
112,04/24/24 08:30:00 AM,15.091,,,
113,04/24/24 08:40:00 AM,14.996,,,
114,04/24/24 08:50:00 AM,15.091,,,
115,04/24/24 09:00:00 AM,14.996,,,
116,04/24/24 09:10:00 AM,15.091,,,
117,04/24/24 09:20:00 AM,14.996,,,
118,04/24/24 09:30:00 AM,15.187,,,
119,04/24/24 09:40:00 AM,15.187,,,
120,04/24/24 09:50:00 AM,14.996,,,
121,04/24/24 10:00:00 AM,15.187,,,
122,04/24/24 10:10:00 AM,15.282,,,
123,04/24/24 10:20:00 AM,15.282,,,
124,04/24/24 10:30:00 AM,15.378,,,
125,04/24/24 10:40:00 AM,15.473,,,
126,04/24/24 10:50:00 AM,15.664,,,
127,04/24/24 11:00:00 AM,15.569,,,
128,04/24/24 11:10:00 AM,15.569,,,
129,04/24/24 11:20:00 AM,15.473,,,
130,04/24/24 11:30:00 AM,15.473,,,
131,04/24/24 11:40:00 AM,15.664,,,
132,04/24/24 11:50:00 AM,15.760,,,
133,04/24/24 12:00:00 PM,15.664,,,
134,04/24/24 12:10:00 PM,15.760,,,
135,04/24/24 12:20:00 PM,15.569,,,
136,04/24/24 12:30:00 PM,15.760,,,
137,04/24/24 12:40:00 PM,15.855,,,
138,04/24/24 12:50:00 PM,15.855,,,
139,04/24/24 01:00:00 PM,15.951,,,
140,04/24/24 01:10:00 PM,15.951,,,
141,04/24/24 01:20:00 PM,15.855,,,
142,04/24/24 01:30:00 PM,16.141,,,
143,04/24/24 01:40:00 PM,16.141,,,
144,04/24/24 01:50:00 PM,16.427,,,
145,04/24/24 02:00:00 PM,16.427,,,
146,04/24/24 02:10:00 PM,16.523,,,
147,04/24/24 02:20:00 PM,16.046,,,
148,04/24/24 02:30:00 PM,16.046,,,
149,04/24/24 02:40:00 PM,16.427,,,
150,04/24/24 02:50:00 PM,16.427,,,
151,04/24/24 03:00:00 PM,16.427,,,
152,04/24/24 03:10:00 PM,16.523,,,
153,04/24/24 03:20:00 PM,16.618,,,
154,04/24/24 03:30:00 PM,16.523,,,
155,04/24/24 03:40:00 PM,16.523,,,
156,04/24/24 03:50:00 PM,16.523,,,
157,04/24/24 04:00:00 PM,16.332,,,
158,04/24/24 04:10:00 PM,16.237,,,
159,04/24/24 04:20:00 PM,16.237,,,
160,04/24/24 04:30:00 PM,16.332,,,
161,04/24/24 04:40:00 PM,16.332,,,
162,04/24/24 04:50:00 PM,16.237,,,
163,04/24/24 05:00:00 PM,16.427,,,
164,04/24/24 05:10:00 PM,16.332,,,
165,04/24/24 05:20:00 PM,16.332,,,
166,04/24/24 05:30:00 PM,16.427,,,
167,04/24/24 05:40:00 PM,16.237,,,
168,04/24/24 05:50:00 PM,16.237,,,
169,04/24/24 06:00:00 PM,16.427,,,
170,04/24/24 06:10:00 PM,16.332,,,
171,04/24/24 06:20:00 PM,16.332,,,
172,04/24/24 06:30:00 PM,16.332,,,
173,04/24/24 06:40:00 PM,16.523,,,
174,04/24/24 06:50:00 PM,16.427,,,
175,04/24/24 07:00:00 PM,16.427,,,
176,04/24/24 07:10:00 PM,16.427,,,
177,04/24/24 07:20:00 PM,16.523,,,
178,04/24/24 07:30:00 PM,16.523,,,
179,04/24/24 07:40:00 PM,16.523,,,
180,04/24/24 07:50:00 PM,16.618,,,
181,04/24/24 08:00:00 PM,16.618,,,
182,04/24/24 08:10:00 PM,16.618,,,
183,04/24/24 08:20:00 PM,16.618,,,
184,04/24/24 08:30:00 PM,16.713,,,
185,04/24/24 08:40:00 PM,16.713,,,
186,04/24/24 08:50:00 PM,16.808,,,
187,04/24/24 09:00:00 PM,16.808,,,
188,04/24/24 09:10:00 PM,16.903,,,
189,04/24/24 09:20:00 PM,16.999,,,
190,04/24/24 09:30:00 PM,17.094,,,
191,04/24/24 09:40:00 PM,17.189,,,
192,04/24/24 09:50:00 PM,17.094,,,
193,04/24/24 10:00:00 PM,17.189,,,
194,04/24/24 10:10:00 PM,17.189,,,
195,04/24/24 10:20:00 PM,17.189,,,
196,04/24/24 10:30:00 PM,17.189,,,
197,04/24/24 10:40:00 PM,17.189,,,
198,04/24/24 10:50:00 PM,17.189,,,
199,04/24/24 11:00:00 PM,17.189,,,
200,04/24/24 11:10:00 PM,17.189,,,
201,04/24/24 11:20:00 PM,17.189,,,
202,04/24/24 11:30:00 PM,17.094,,,
203,04/24/24 11:40:00 PM,17.094,,,
204,04/24/24 11:50:00 PM,17.094,,,
205,04/25/24 12:00:00 AM,17.094,,,
206,04/25/24 12:10:00 AM,17.094,,,
207,04/25/24 12:20:00 AM,17.094,,,
208,04/25/24 12:30:00 AM,17.094,,,
209,04/25/24 12:40:00 AM,16.999,,,
210,04/25/24 12:50:00 AM,16.999,,,
211,04/25/24 01:00:00 AM,16.999,,,
212,04/25/24 01:10:00 AM,16.999,,,
213,04/25/24 01:20:00 AM,16.999,,,
214,04/25/24 01:30:00 AM,16.999,,,
215,04/25/24 01:40:00 AM,16.903,,,
216,04/25/24 01:50:00 AM,16.903,,,
217,04/25/24 02:00:00 AM,16.903,,,
218,04/25/24 02:10:00 AM,16.903,,,
219,04/25/24 02:20:00 AM,16.903,,,
220,04/25/24 02:30:00 AM,16.903,,,
221,04/25/24 02:40:00 AM,16.903,,,
222,04/25/24 02:50:00 AM,16.808,,,
223,04/25/24 03:00:00 AM,16.808,,,
224,04/25/24 03:10:00 AM,16.808,,,
225,04/25/24 03:20:00 AM,16.808,,,
226,04/25/24 03:30:00 AM,16.808,,,
